card_name,in_perc_of_decks,avg_copies,deck_winrate,times_played,url,CLASS,RARITY,CARDTYPE,COLLECTIBLE,ELITE,COST,HEALTH,ATK,BATTLECRY,HAS_DIAMOND_QUALITY,MAX_SIDEBOARD_CARDS,DISCOVER,DECK_RULE_MOD_DECK_SIZE,MANATHIRST,TAG_SCRIPT_DATA_NUM_1,ENCHANTMENT_BIRTH_VISUAL,ENCHANTMENT_IDLE_VISUAL,CARDRACE,FACTION,TAUNT,AttackVisualType,TITAN,DONT_PICK_FROM_SUBSETS,AFFECTED_BY_HEALING_DOES_DAMAGE,COUNTER,USE_DISCOVER_VISUALS,AURA,DEATHRATTLE,FREEZE,DECK_ACTION_COST,FORGE,COLLECTION_RELATED_CARD_DATABASE_ID,FORGES_INTO,TRIGGER_VISUAL,MINI_SET,DIVINE_SHIELD,TECH_LEVEL,IS_BACON_POOL_MINION,CHARGE,HAS_SIGNATURE_QUALITY,MULTI_CLASS_GROUP,MULTIPLE_CLASSES,COMBO,COST_UNHOLY,CANT_BE_DAMAGED,OVERLOAD,REBORN,RUSH,DREDGE,SPELLPOWER,KABAL,CORPSE,SECRET,ADJACENT_BUFF,WHELP,BONUSEFFECTS,MAGNETIC,ENTITY_TAG_THRESHOLD_TAG_ID,ENTITY_TAG_THRESHOLD_VALUE,FROZEN,WINDFURY,FAST_BATTLECRY,OUTCAST,COST_FROST,POISONOUS,DevState,IMP,TOPDECK,FINALE,QUEST,LIFESTEAL,JADE_GOLEM,JADE_LOTUS,OVERKILL,CARD_COSTS_HEALTH,CHOOSE_ONE,INFUSE,TAG_SCRIPT_DATA_NUM_2,COST_BLOOD,COLOSSAL,TRANSFORMED_FROM_CARD_VISUAL_TYPE,START_OF_GAME,DISPLAY_CARD_ON_MOUSEOVER,COLOSSAL_LIMB_ON_LEFT,STEALTH,TRADEABLE,COLLECTIONMANAGER_FILTER_MANA_EVEN,SILENCE,FRENZY,EMPOWER,SPELLBURST,CORRUPT,RITUAL,EVILZUG,DORMANT,DECK_RULE_COUNT_AS_COPY_OF_CARD_ID,DEATH_KNIGHT,PLAYER_TAG_THRESHOLD_TAG_ID,PLAYER_TAG_THRESHOLD_VALUE,ADAPT,HEROPOWER_DAMAGE,DISCARD_CARDS,INSPIRE,ECHO,HONORABLEKILL,ENRAGED,RECRUIT,GRIMY_GOONS,MAGNETIC_TO_RACE,OVERHEAL,MULTIPLY_BUFF_VALUE,TARGETING_ARROW_TYPE,IMMUNE_WHILE_ATTACKING,CORRUPTEDCARD,VOODOO_LINK,COLLECTIONMANAGER_FILTER_MANA_ODD,SPARE_PART,EXTRA_DEATHRATTLES_BASE,SPELLPOWER_FIRE,DURABILITY,SPELLPOWER_NATURE,MEGA_WINDFURY,CASTSWHENDRAWN,FORGETFUL,FINISH_ATTACK_SPELL_ON_DAMAGE
Frequency Oscillator,0.80%,1.8,58.70%,"1,300",https://hearthstone.fandom.com//wiki/Frequency_Oscillator,12.0,1.0,4.0,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeletal Sidekick,1.00%,1.8,49.20%,"1,300",https://hearthstone.fandom.com//wiki/Skeletal_Sidekick,1.0,1.0,4.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tess Greymane,3.00%,1,53.60%,"1,300",https://hearthstone.fandom.com//wiki/Tess_Greymane,7.0,5.0,4.0,1.0,1.0,7.0,6.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darkbishop Benedictus,4.20%,1,67.00%,"1,300",https://hearthstone.fandom.com//wiki/Darkbishop_Benedictus,6.0,5.0,4.0,1.0,1.0,5.0,6.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saronite Chain Gang,1.00%,1.3,50.00%,"1,200",https://hearthstone.fandom.com//wiki/Saronite_Chain_Gang,12.0,3.0,4.0,1.0,0.0,4.0,3.0,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplified Snowflurry,0.80%,1.7,55.70%,"1,200",https://hearthstone.fandom.com//wiki/Amplified_Snowflurry,4.0,1.0,4.0,1.0,,2.0,3.0,2.0,1.0,,,,,,,,,18.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hipster,1.10%,1.3,52.50%,"1,200",https://hearthstone.fandom.com//wiki/Hipster,12.0,1.0,4.0,1.0,,2.0,3.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwater Behemoth,2.20%,1,56.80%,"1,200",https://hearthstone.fandom.com//wiki/Blackwater_Behemoth,6.0,5.0,4.0,1.0,1.0,7.0,10.0,8.0,,,,,,,,,,20.0,,,,,,,,,,,,,,72489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,72489.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False Disciple,1.10%,1.2,54.20%,"1,200",https://hearthstone.fandom.com//wiki/False_Disciple,6.0,3.0,4.0,1.0,,2.0,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augmented Elekk,1.00%,1.6,44.50%,"1,200",https://hearthstone.fandom.com//wiki/Augmented_Elekk,12.0,4.0,4.0,1.0,,3.0,4.0,3.0,,,,,,,,,,20.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabal Lackey,0.70%,1.8,59.70%,"1,200",https://hearthstone.fandom.com//wiki/Kabal_Lackey,4.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groovy Cat,0.50%,1.9,48.20%,"1,200",https://hearthstone.fandom.com//wiki/Groovy_Cat,2.0,3.0,4.0,1.0,,2.0,1.0,2.0,1.0,,,,,,,,,20.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneer,0.70%,1.8,61.10%,"1,200",https://hearthstone.fandom.com//wiki/Buccaneer,7.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,,,,,,,,0.0,0.0,23.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tour Guide,0.90%,1.4,53.40%,"1,200",https://hearthstone.fandom.com//wiki/Tour_Guide,12.0,1.0,4.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit of the Shark,0.70%,1.3,47.30%,"1,200",https://hearthstone.fandom.com//wiki/Spirit_of_the_Shark,7.0,3.0,4.0,1.0,0.0,4.0,3.0,,,,,,,,,,,11.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwin VanCleef,0.90%,1,59.10%,"1,200",https://hearthstone.fandom.com//wiki/Edwin_VanCleef,7.0,5.0,4.0,1.0,1.0,3.0,2.0,2.0,,,,,,,,0.0,0.0,,3.0,,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shattershambler,0.60%,1.8,55.70%,"1,100",https://hearthstone.fandom.com//wiki/Shattershambler,7.0,3.0,4.0,1.0,,1.0,3.0,1.0,1.0,,,,,,,,,18.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suspicious Alchemist,0.90%,1.4,57.80%,"1,100",https://hearthstone.fandom.com//wiki/Suspicious_Alchemist,4.0,3.0,4.0,1.0,,1.0,3.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuskarrrr Trawler,0.80%,1.6,56.20%,"1,100",https://hearthstone.fandom.com//wiki/Tuskarrrr_Trawler,12.0,1.0,4.0,1.0,,2.0,3.0,2.0,1.0,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patchwerk,2.20%,1,47.50%,"1,100",https://hearthstone.fandom.com//wiki/Patchwerk,1.0,5.0,4.0,1.0,1.0,7.0,6.0,4.0,1.0,,,,,,,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Ascendant,0.70%,1.8,58.40%,"1,100",https://hearthstone.fandom.com//wiki/Shadow_Ascendant,6.0,1.0,4.0,1.0,0.0,2.0,3.0,2.0,,,,,,,,0.0,0.0,11.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lord Barov,1.90%,1,62.50%,"1,100",https://hearthstone.fandom.com//wiki/Lord_Barov,5.0,5.0,4.0,1.0,1.0,3.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,13.0,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hematurge,0.90%,1.4,54.00%,"1,100",https://hearthstone.fandom.com//wiki/Hematurge,1.0,3.0,4.0,1.0,,2.0,3.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiant Elemental,0.60%,1.8,50.10%,"1,100",https://hearthstone.fandom.com//wiki/Radiant_Elemental,6.0,1.0,4.0,1.0,0.0,2.0,3.0,2.0,,,,,,,,0.0,0.0,18.0,3.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rustrot Viper,4.50%,1.1,58.10%,"1,100",https://hearthstone.fandom.com//wiki/Rustrot_Viper,12.0,1.0,4.0,1.0,,3.0,4.0,3.0,1.0,,,,,,,,,20.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malchezaar's Imp,0.50%,1.9,58.90%,"1,100",https://hearthstone.fandom.com//wiki/Malchezaar%27s_Imp,9.0,1.0,4.0,1.0,0.0,1.0,3.0,1.0,,,,,,,,,,15.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steam Guardian,0.60%,1.8,56.90%,"1,100",https://hearthstone.fandom.com//wiki/Steam_Guardian,10.0,1.0,4.0,1.0,,3.0,3.0,3.0,1.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit Jailer,0.50%,1.8,45.30%,"1,100",https://hearthstone.fandom.com//wiki/Spirit_Jailer,9.0,1.0,4.0,1.0,,1.0,3.0,1.0,1.0,,,,,,,,,15.0,,,,,,,,,,,,,,59723.0,,,,,,,,,6.0,8448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deepwater Evoker,0.80%,1.5,55.30%,"1,100",https://hearthstone.fandom.com//wiki/Deepwater_Evoker,4.0,3.0,4.0,1.0,,4.0,4.0,3.0,1.0,,,,,,,,,23.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yogg-Saron, Hope's End",3.20%,1,54.70%,"1,000","https://hearthstone.fandom.com//wiki/Yogg-Saron,_Hope%27s_End",12.0,5.0,4.0,1.0,1.0,10.0,5.0,7.0,1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peasant,0.70%,1.7,50.10%,"1,000",https://hearthstone.fandom.com//wiki/Peasant,12.0,1.0,4.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Spirit,0.40%,1.9,39.10%,"1,000",https://hearthstone.fandom.com//wiki/Free_Spirit,2.0,4.0,4.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,20.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mi'da, Pure Light",1.60%,1,49.20%,"1,000","https://hearthstone.fandom.com//wiki/Mi%27da,_Pure_Light",6.0,5.0,4.0,1.0,1.0,6.0,6.0,4.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,71255.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodsail Flybooter,0.40%,1.7,58.00%,"1,000",https://hearthstone.fandom.com//wiki/Bloodsail_Flybooter,7.0,1.0,4.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,23.0,,,,,,,,,,,,,,56044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baleful Banker,1.10%,1.4,49.60%,"1,000",https://hearthstone.fandom.com//wiki/Baleful_Banker,12.0,4.0,4.0,1.0,0.0,2.0,2.0,2.0,1.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thassarian,1.60%,1,50.80%,"1,000",https://hearthstone.fandom.com//wiki/Thassarian,1.0,5.0,4.0,1.0,1.0,4.0,3.0,3.0,1.0,,,,,,,,,11.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genn Greymane,3.80%,1,66.50%,"1,000",https://hearthstone.fandom.com//wiki/Genn_Greymane,12.0,5.0,4.0,1.0,1.0,6.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northshire Cleric,0.70%,1.4,51.80%,"1,000",https://hearthstone.fandom.com//wiki/Northshire_Cleric,6.0,1.0,4.0,1.0,0.0,1.0,3.0,1.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghoulish Alchemist,0.60%,1.8,55.80%,"1,000",https://hearthstone.fandom.com//wiki/Ghoulish_Alchemist,7.0,3.0,4.0,1.0,0.0,2.0,2.0,3.0,1.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handmaiden,0.70%,1.6,48.50%,"1,000",https://hearthstone.fandom.com//wiki/Handmaiden,6.0,3.0,4.0,1.0,,3.0,2.0,3.0,1.0,,,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald Explorer,1.10%,1.2,59.80%,"1,000",https://hearthstone.fandom.com//wiki/Emerald_Explorer,2.0,1.0,4.0,1.0,,6.0,8.0,4.0,1.0,,,1.0,,,,,,24.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvermoon Arcanist,0.60%,1.7,54.20%,"1,000",https://hearthstone.fandom.com//wiki/Silvermoon_Arcanist,12.0,1.0,4.0,1.0,,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concoctor,0.50%,1.8,52.20%,"1,000",https://hearthstone.fandom.com//wiki/Concoctor,7.0,1.0,4.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonecaller,0.90%,1.4,49.10%,"1,000",https://hearthstone.fandom.com//wiki/Bonecaller,6.0,3.0,4.0,1.0,,4.0,5.0,2.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane Flakmage,0.70%,1.8,60.10%,"1,000",https://hearthstone.fandom.com//wiki/Arcane_Flakmage,4.0,3.0,4.0,1.0,0.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ragnaros the Firelord,2.60%,1,46.00%,"1,000",https://hearthstone.fandom.com//wiki/Ragnaros_the_Firelord,12.0,5.0,4.0,1.0,1.0,8.0,8.0,8.0,,1.0,,,,,,0.0,0.0,18.0,3.0,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astromancer Solarian,1.00%,1,53.60%,"1,000",https://hearthstone.fandom.com//wiki/Astromancer_Solarian,4.0,5.0,4.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,56718.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolpertinger,0.60%,1.8,63.10%,"1,000",https://hearthstone.fandom.com//wiki/Wolpertinger,3.0,1.0,4.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death's Head Cultist,0.90%,1.5,46.80%,"1,000",https://hearthstone.fandom.com//wiki/Death%27s_Head_Cultist,12.0,1.0,4.0,1.0,,3.0,4.0,2.0,,,,,,,,,,43.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patches the Pirate,3.70%,1,69.30%,990,https://hearthstone.fandom.com//wiki/Patches_the_Pirate,12.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonehill Defender,0.80%,1.4,54.40%,990,https://hearthstone.fandom.com//wiki/Stonehill_Defender,12.0,3.0,4.0,1.0,0.0,3.0,4.0,1.0,1.0,,,1.0,,,,0.0,0.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topior the Shrubbagazzor,1.10%,1,54.80%,990,https://hearthstone.fandom.com//wiki/Topior_the_Shrubbagazzor,2.0,5.0,4.0,1.0,1.0,7.0,5.0,5.0,1.0,,,,,,,,,24.0,,,,,,,,,,,,,,77703.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irondeep Trogg,0.70%,1.6,57.10%,990,https://hearthstone.fandom.com//wiki/Irondeep_Trogg,12.0,3.0,4.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curious Glimmerroot,1.20%,1,62.20%,990,https://hearthstone.fandom.com//wiki/Curious_Glimmerroot,6.0,4.0,4.0,1.0,0.0,3.0,3.0,3.0,1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ymirjar Deathbringer,0.90%,1.9,48.10%,980,https://hearthstone.fandom.com//wiki/Ymirjar_Deathbringer,1.0,3.0,4.0,1.0,,3.0,3.0,4.0,,,,,,,,,,11.0,,1.0,,,,,,,,1.0,,,,91360.0,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Questing Explorer,0.70%,1.5,51.50%,980,https://hearthstone.fandom.com//wiki/Questing_Explorer,12.0,3.0,4.0,1.0,0.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crypt Keeper,0.50%,1.8,59.80%,980,https://hearthstone.fandom.com//wiki/Crypt_Keeper,2.0,1.0,4.0,1.0,,8.0,6.0,4.0,,,,,,,,,,11.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Possessifier,1.00%,1.8,46.30%,980,https://hearthstone.fandom.com//wiki/Possessifier,1.0,1.0,4.0,1.0,0.0,5.0,3.0,3.0,1.0,,,,,,,0.0,0.0,,3.0,,,,,,,,,,,,,78632.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
